GEOID,concept,total_pop,label,county,estimate,pct
3731400,Some Other Race Alone,NA,Less than 9th grade,"High Point city, North Carolina",NA,NA
3731400,Some Other Race Alone,NA,Regular high school diploma,"High Point city, North Carolina",NA,NA
3731400,Some Other Race Alone,NA,"Some college, no degree","High Point city, North Carolina",NA,NA
3731400,Some Other Race Alone,NA,Total Population,"High Point city, North Carolina",NA,NA
3755000,Some Other Race Alone,NA,"9th to 12th grade, no diploma","Raleigh city, North Carolina",NA,NA
3755000,Some Other Race Alone,NA,Associate's degree,"Raleigh city, North Carolina",NA,NA
3755000,Some Other Race Alone,NA,Bachelor's degree,"Raleigh city, North Carolina",NA,NA
3755000,Some Other Race Alone,NA,GED or alternative credential,"Raleigh city, North Carolina",NA,NA
3755000,Some Other Race Alone,NA,Graduate or professional degree,"Raleigh city, North Carolina",NA,NA
3755000,Some Other Race Alone,NA,Less than 9th grade,"Raleigh city, North Carolina",NA,NA
3755000,Some Other Race Alone,NA,Regular high school diploma,"Raleigh city, North Carolina",NA,NA
3755000,Some Other Race Alone,NA,"Some college, no degree","Raleigh city, North Carolina",NA,NA
