fiscal_year,year,month,JURISDICTION,trade,inspection_count
2016,2015,Oct,Summerfield,Electrical,68
2016,2015,Oct,Summerfield,Other,32
2016,2015,Oct,Summerfield,Plumbing/Mechanical/Gas,108
2016,2015,Oct,Whitsett,Building,4
2016,2015,Oct,Whitsett,Other,3
2016,2015,Nov,Greensboro,Other,1
2016,2015,Nov,Guilford County,Building,519
2016,2015,Nov,Guilford County,Electrical,409
2016,2015,Nov,Guilford County,Other,284
2016,2015,Nov,Guilford County,Plumbing/Mechanical/Gas,573
2016,2015,Nov,Jamestown,Building,40
2016,2015,Nov,Jamestown,Electrical,13
2016,2015,Nov,Jamestown,Other,1
2016,2015,Nov,Jamestown,Plumbing/Mechanical/Gas,20
2016,2015,Nov,Oak Ridge,Building,102
2016,2015,Nov,Oak Ridge,Electrical,69
2016,2015,Nov,Oak Ridge,Other,9
2016,2015,Nov,Oak Ridge,Plumbing/Mechanical/Gas,110
2016,2015,Nov,Pleasant Garden,Building,44
2016,2015,Nov,Pleasant Garden,Electrical,14
2016,2015,Nov,Pleasant Garden,Plumbing/Mechanical/Gas,26
2016,2015,Nov,PTIA,Building,3
2016,2015,Nov,PTIA,Other,1
2016,2015,Nov,Sedalia,Building,5
2016,2015,Nov,Sedalia,Electrical,8
2016,2015,Nov,Sedalia,Plumbing/Mechanical/Gas,8
2016,2015,Nov,Stokesdale,Building,49
2016,2015,Nov,Stokesdale,Electrical,27
2016,2015,Nov,Stokesdale,Other,4
2016,2015,Nov,Stokesdale,Plumbing/Mechanical/Gas,44
2016,2015,Nov,Summerfield,Building,103
2016,2015,Nov,Summerfield,Electrical,81
2016,2015,Nov,Summerfield,Other,7
2016,2015,Nov,Summerfield,Plumbing/Mechanical/Gas,67
2016,2015,Dec,Guilford County,Building,529
2016,2015,Dec,Guilford County,Electrical,454
2016,2015,Dec,Guilford County,Other,257
2016,2015,Dec,Guilford County,Plumbing/Mechanical/Gas,718
2016,2015,Dec,Jamestown,Building,45
2016,2015,Dec,Jamestown,Electrical,28
2016,2015,Dec,Jamestown,Other,4
2016,2015,Dec,Jamestown,Plumbing/Mechanical/Gas,41
2016,2015,Dec,Oak Ridge,Building,125
2016,2015,Dec,Oak Ridge,Electrical,68
2016,2015,Dec,Oak Ridge,Other,15
2016,2015,Dec,Oak Ridge,Plumbing/Mechanical/Gas,100
2016,2015,Dec,Pleasant Garden,Building,18
2016,2015,Dec,Pleasant Garden,Electrical,11
2016,2015,Dec,Pleasant Garden,Other,1
2016,2015,Dec,Pleasant Garden,Plumbing/Mechanical/Gas,13
2016,2015,Dec,PTIA,Building,1
2016,2015,Dec,PTIA,Electrical,1
2016,2015,Dec,PTIA,Other,2
2016,2015,Dec,PTIA,Plumbing/Mechanical/Gas,3
2016,2015,Dec,Sedalia,Building,4
2016,2015,Dec,Sedalia,Electrical,4
2016,2015,Dec,Sedalia,Other,2
2016,2015,Dec,Sedalia,Plumbing/Mechanical/Gas,1
2016,2015,Dec,Stokesdale,Building,58
2016,2015,Dec,Stokesdale,Electrical,31
2016,2015,Dec,Stokesdale,Other,3
2016,2015,Dec,Stokesdale,Plumbing/Mechanical/Gas,40
2016,2015,Dec,Summerfield,Building,62
2016,2015,Dec,Summerfield,Electrical,82
2016,2015,Dec,Summerfield,Other,15
2016,2015,Dec,Summerfield,Plumbing/Mechanical/Gas,129
2016,2015,Dec,Whitsett,Building,1
2016,2015,Dec,Whitsett,Plumbing/Mechanical/Gas,2
2016,2016,Jan,Guilford County,Building,454
2016,2016,Jan,Guilford County,Electrical,364
2016,2016,Jan,Guilford County,Other,252
2016,2016,Jan,Guilford County,Plumbing/Mechanical/Gas,540
2016,2016,Jan,Jamestown,Building,31
2016,2016,Jan,Jamestown,Electrical,24
2016,2016,Jan,Jamestown,Other,3
2016,2016,Jan,Jamestown,Plumbing/Mechanical/Gas,42
2016,2016,Jan,Oak Ridge,Building,63
2016,2016,Jan,Oak Ridge,Electrical,78
2016,2016,Jan,Oak Ridge,Other,8
2016,2016,Jan,Oak Ridge,Plumbing/Mechanical/Gas,137
2016,2016,Jan,Pleasant Garden,Building,30
2016,2016,Jan,Pleasant Garden,Electrical,23
2016,2016,Jan,Pleasant Garden,Other,4
2016,2016,Jan,Pleasant Garden,Plumbing/Mechanical/Gas,42
2016,2016,Jan,PTIA,Building,3
2016,2016,Jan,PTIA,Electrical,4
2016,2016,Jan,PTIA,Other,1
2016,2016,Jan,PTIA,Plumbing/Mechanical/Gas,3
2016,2016,Jan,Sedalia,Building,1
2016,2016,Jan,Sedalia,Electrical,4
